,IR,Inverse_Filtering_Similarity_Melody,Inverse_Filtering_Correlation_Melody,Weiner_Similarity_Melody,Weiner_Correlation_Melody,ACDW_Similarity_Melody,ACDW_Correlation_Melody,Inverse_Filtering_Similarity_Chords,Inverse_Filtering_Correlation_Chords,Weiner_Similarity_Chords,Weiner_Correlation_Chords,ACDW_Similarity_Chords,ACDW_Correlation_Chords
0,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,7.397808659006173e-06,,2.556235590807904e-06,,3.1934910690992745e-06,,2.779800576062905e-06,,2.802453863305613e-06,,2.832683128678414e-06,
1,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.5173690904888564e-06,,1.468624824215771e-06,,2.1161633714196027e-06,,1.985009935476955e-06,,2.370570873077477e-06,,2.959591364311378e-06,
2,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.470471440969803e-06,,2.9654414525238505e-06,,9.681885568187551e-06,,3.090432863081421e-06,,3.618422244090909e-06,,4.4079370202234e-06,
3,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.350302996969162e-06,,1.9298284933658653e-06,,3.412407965550869e-06,,2.711054302232912e-06,,2.0887810946231245e-06,,2.092325183958365e-06,
4,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.863269400936133e-06,,2.952813914615737e-06,,5.656517567474831e-06,,2.8098469146168707e-06,,2.1038134705342826e-06,,2.5275713442593348e-06,
5,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.305255547561659e-06,,1.545279568085756e-06,,1.59335533040961e-06,,1.6767273177196975e-06,,2.040520371433685e-06,,2.714030211424563e-06,
6,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,5.2660819305460234e-06,,2.901042969630259e-06,,8.822162373517402e-06,,2.633889063359656e-06,,3.846707201506204e-06,,4.291079602085672e-06,
7,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.7967381181040198e-06,,1.5473512758876509e-06,,3.4524224861132807e-06,,1.8088421214594992e-06,,2.3195054110999234e-06,,2.469001327015298e-06,
8,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.4507090482250866e-06,,3.0558933144359297e-06,,3.283484370150435e-06,,3.969199862440048e-06,,2.206247292623648e-06,,2.326368593554591e-06,
9,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.335150247868802e-06,,1.425357061189467e-06,,1.6435756096855744e-06,,2.083238706774947e-06,,2.3005024108497103e-06,,2.5346183939902514e-06,
10,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.4117426593847577e-06,,4.007378224748195e-06,,6.498836634805247e-06,,1.9672219636933504e-06,,3.4436351200144744e-06,,3.877279464881041e-06,
11,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.254466727093216e-06,,1.7721355317688228e-06,,3.448754253992022e-06,,2.1782306273693614e-06,,2.3065290433292356e-06,,2.25012642432731e-06,
12,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.2652771196120825e-06,,3.473146379355528e-06,,5.768068468609193e-06,,2.5250701002979554e-06,,2.424826353575768e-06,,2.375571673069226e-06,
13,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.1448953435734156e-06,,1.4356615398576052e-06,,1.8915220605949432e-06,,1.7537461479874556e-06,,1.7079479164555571e-06,,1.9346441718243023e-06,
14,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.2825575366618964e-06,,3.5347309222576877e-06,,8.293027399944286e-06,,2.7555516177833294e-06,,3.4086471066859623e-06,,4.011221551723899e-06,
15,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.5031661643932358e-06,,1.7917871247457035e-06,,2.7777683438185806e-06,,2.0092677445324774e-06,,2.4791298182331434e-06,,1.9280848007559106e-06,
16,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.72214196479173e-06,,2.861948624593416e-06,,4.1977858045514325e-06,,2.9919015510791246e-06,,3.1515900819460498e-06,,2.8982563287930475e-06,
17,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.7051814540584648e-06,,1.5998947263664553e-06,,1.889748621387672e-06,,1.8376218139483697e-06,,2.2652851207661167e-06,,1.8787194644175883e-06,
18,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,4.977735073889759e-06,,3.845723272307652e-06,,4.782765785700908e-06,,3.903133405992353e-06,,2.246443768242462e-06,,2.7314986640585057e-06,
19,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.2854236859425542e-06,,2.157410822318612e-06,,3.454860095438076e-06,,1.7908565014434405e-06,,2.2569269525581997e-06,,2.2022368123649086e-06,
20,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.9564585287688928e-06,,2.698074374049894e-06,,5.428867470569425e-06,,2.663457920441092e-06,,2.42885534919333e-06,,2.588295960550417e-06,
21,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.4089086921667676e-06,,1.5710279456211129e-06,,1.9374020924116058e-06,,2.0819759826250235e-06,,1.983349163801387e-06,,1.9387505921812836e-06,
22,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,4.523412645566299e-06,,3.7072947813694386e-06,,5.585754804317694e-06,,2.388135547648311e-06,,3.2353472819470337e-06,,2.97407940987745e-06,
23,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.067500142016427e-06,,3.258983608156034e-06,,2.939282870663605e-06,,1.9436603847154714e-06,,2.597300725313102e-06,,1.9873410919669467e-06,
24,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.522559583249727e-06,,3.0884607077667427e-06,,3.426605730135377e-06,,3.014967125380081e-06,,2.7015391079881024e-06,,3.0386091000300387e-06,
