,IR,guitar_mapping,mic_mapping,excitation_type,excitation_length,has_ring,volume,if_params,weiner_params,acdw_params,Inverse_Filtering_Similarity_Melody,Inverse_Filtering_Correlation_Melody,Weiner_Similarity_Melody,Weiner_Correlation_Melody,ACDW_Similarity_Melody,ACDW_Correlation_Melody,Inverse_Filtering_Similarity_Chords,Inverse_Filtering_Correlation_Chords,Weiner_Similarity_Chords,Weiner_Correlation_Chords,ACDW_Similarity_Chords,ACDW_Correlation_Chords
0,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,3s_excitation,ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.327667424220904e-06,,3.18584660851915e-06,,3.0039023356813358e-06,,1.8039110433909262e-06,,2.7152516506473113e-06,,4.241105103414655e-06,
1,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,3s_excitation,ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(132300), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.459186074167342e-06,,5.00440098084542e-06,,3.736971058748758e-06,,1.4298512883850112e-06,,2.858401516147137e-06,,3.284246209615831e-06,
2,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,3s_excitation,ring,med,{'ir_length': np.int64(132300)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.474116065852907e-06,,4.000477608112264e-06,,3.016070956846178e-06,,2.8146517537693144e-06,,2.454145317264412e-06,,4.612266632052817e-06,
3,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,3s_excitation,ring,med,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.735361691643861e-06,,3.839336193474843e-06,,2.792268289267988e-06,,2.3068210605103495e-06,,2.2308530657074627e-06,,3.5002144466337543e-06,
4,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,3s_excitation,no_ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.289709932408936e-06,,2.4607084258950436e-06,,3.0392372897465872e-06,,2.1452682558753367e-06,,4.103688873710051e-06,,3.911075692985422e-06,
5,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,3s_excitation,no_ring,loud,{'ir_length': np.int64(132300)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.349390792564398e-06,,3.3973153968858804e-06,,5.004028288804564e-06,,2.7292568410742775e-06,,4.164401824284016e-06,,3.2468951399973504e-06,
6,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,3s_excitation,no_ring,med,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.416881090519708e-06,,4.466259362094461e-06,,2.9617545681061067e-06,,1.6659080203296132e-06,,2.3413120935428525e-06,,4.182786873489326e-06,
7,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,3s_excitation,no_ring,med,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.785598267292737e-06,,3.303127432848535e-06,,7.266947717546283e-06,,3.1505303138149316e-06,,2.6104867685611772e-06,,3.938125650296407e-06,
8,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,5s_excitation,ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.799955455119733e-06,,2.8374284761305495e-06,,2.8170556762602736e-06,,2.067867619034827e-06,,3.923290968609722e-06,,4.761616792420014e-06,
9,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,5s_excitation,ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",3.811072676666863e-06,,5.217666483454517e-06,,5.33328335546021e-06,,1.5516856914334962e-06,,2.367002268632409e-06,,4.211065084954315e-06,
10,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,5s_excitation,ring,med,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.59022668584899e-06,,3.360438884336483e-06,,3.0258957439880097e-06,,2.003705124050004e-06,,2.465988755520499e-06,,4.588133892627343e-06,
11,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,5s_excitation,ring,med,{'ir_length': np.int64(88200)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.845692538589131e-06,,3.902612861523252e-06,,4.274045199773722e-06,,2.0548542125064253e-06,,2.4420307667780456e-06,,4.164573401462705e-06,
